index,title,desc,hot,url,image,source,type,datetime
1,刚刚，Claude首次证明费马大定理，清华姚班大神出手了,,41995,https://www.36kr.com/p/3969755274883328,https://img.36krcdn.com/hsossms/20260905/v2_032cc26a2b60493fa16eaa00f75cc3ea@000000@ai_oswg978054oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
2,AGI，真的来了？,,31200,https://www.36kr.com/p/3969215933421190,"https://img.36krcdn.com/hsossms/20260904/v2_28930143d0cb4394bf308fc16f480c79@000000_oswg74751oswg1280oswg544_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 01:15:54
3,大模型蒸馏时代结束：Fable 5.1改写API，彻底切断蒸馏后路,,23854,https://www.36kr.com/p/3969755353723393,https://img.36krcdn.com/hsossms/20260905/v2_00d70664ddae4e7c927c26facf4fc082@000000@ai_oswg535873oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
4,9点1氪丨大众汽车宣布全球裁员10万；月之暗面据悉计划今年在香港进行IPO；国家统计局：全国打工人周均工作48.2小时,,17271,https://www.36kr.com/p/3969804742111746,"https://img.36krcdn.com/hsossms/20260905/v2_1187d4836a3f4c75be53a7be6356509f@000000_oswg37473oswg899oswg383_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 01:15:54
5,苹果提前“揭晓”触屏MacBook Pro，我终于能戳同事电脑了,,13128,https://www.36kr.com/p/3969992945955076,https://img.36krcdn.com/hsossms/20260905/v2_49419e3fd8634bfa9d236e9d09291206@000000@ai_oswg883725oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
6,互联网最古老的恐惧，被 AI 复活了,,8516,https://www.36kr.com/p/3969943690064136,https://img.36krcdn.com/hsossms/20260905/v2_3896cde95ea14db68d22a443591fd65e@000000@ai_oswg866651oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
7,WorkBuddy 开放生态，腾讯不想被困桌面,,6668,https://www.36kr.com/p/3970051115266306,https://img.36krcdn.com/hsossms/20260905/v2_da56f4f7c36046f0b4073e9a28dccdad@000000@ai_oswg935597oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
8,大声造车的追觅，只撑了一年,,6329,https://www.36kr.com/p/3969787100770825,https://img.36krcdn.com/hsossms/20260905/v2_ad45f4147f0b4c559f7b72d69e2f049c@000000@ai_oswg697538oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
9,字节拿到296亿美元“弹药”：大厂集体为AI找钱，还能烧多久，谁先扛不住？,,5767,https://www.36kr.com/p/3969914762670601,https://img.36krcdn.com/hsossms/20260905/v2_c74f1c1495ac4dd4a8dfe176c5f44f19@000000@ai_oswg887658oswg2848oswg1600_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
10,HBM，生变,,5289,https://www.36kr.com/p/3969913513341185,https://img.36krcdn.com/hsossms/20260905/v2_185212bbc80d4838be9cfe67caced6cd@000000@ai_oswg758511oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
11,8.9万成“加盟”商，星巴克对抗星巴克？,,5151,https://www.36kr.com/p/3970051041014277,https://img.36krcdn.com/hsossms/20260905/v2_523bebf975ee4beb999c7de7dd4f752a@000000@ai_oswg1047361oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
12,中国开源模型，正成为全球 AI 的“度量衡”,,5004,https://www.36kr.com/p/3970014644295303,"https://img.36krcdn.com/hsossms/20260905/v2_614c7c6f0c0a4b679ef5f906069f6a7f@6181939_oswg141855oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 01:15:54
13,李斌：AI给汽车行业带来三重暴击，蔚来价值被市场低估,,4542,https://www.36kr.com/p/3970150442709510,https://img.36krcdn.com/hsossms/20260905/v2_5dc74a0fcf3a434d98d4130cc32a1763@000000@ai_oswg1070774oswg2848oswg1600_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
14,服饰行业终于有了新故事：从老外反向代购，到把店开到巴黎,,4157,https://www.36kr.com/p/3969287628199814,"https://img.36krcdn.com/hsossms/20260905/v2_b629624722994d5799656b46f9306cc4@000000_oswg55403oswg889oswg377_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 01:15:54
15,万元AI研学营，正在批量收割家长,,3672,https://www.36kr.com/p/3969834502238723,https://img.36krcdn.com/hsossms/20260905/v2_81b4611fa5f845e0b3a59d5281741456@000000@ai_oswg813024oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
16,一口气上5款，销量Top5，茶颜悦色和这种水果“杠上了”,,3595,https://www.36kr.com/p/3969839868211720,https://img.36krcdn.com/hsossms/20260905/v2_ecd1f78d0c334d9dadf56fcca8dfee59@000000@ai_oswg548204oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
17,直击IFA 2026｜别谈具身和AI，欧洲不相信「黑科技」,,3395,https://www.36kr.com/p/3970179970036225,"https://img.36krcdn.com/hsossms/20260905/v2_f7c2191e92944f81a530bec87f73ce1b@6022551_oswg174626oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 01:15:54
18,疯狂买买买，英伟达的野心何在？,,3141,https://www.36kr.com/p/3969937894387972,https://img.36krcdn.com/hsossms/20260905/v2_0bf591a435954b36a7b91fbfa9de4367@000000@ai_oswg1323789oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
19,解密万兴科技：海外收入超90%   回国练兵布局AI影视新赛道,,3133,https://www.36kr.com/p/3970160043913734,"https://img.36krcdn.com/hsossms/20260905/v2_e9d870375c61418c81245406df009072@6062546_oswg821608oswg1053oswg495_img_png?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 01:15:54
20,中企第一的海尔智家，IFA2026又全面迭代AI,,2440,https://www.36kr.com/p/3969815572623874,https://img.36krcdn.com/hsossms/20260905/v2_76fde43d3f9f46e5878b31d7f5f5aff6@000000@ai_oswg624334oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 01:15:54
21,之禾、PANE们突围，离“中国奢侈品”又近一步,,1047,https://www.36kr.com/p/3970605943927040,"https://img.36krcdn.com/hsossms/20260905/v2_d4a8f6093f5048d1b319aea9ca8b3015@19153231_oswg278802oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 01:15:54
22,群星集结海岛逐浪，9月11日《PEL奇遇时光三亚篇》斗鱼直播重磅开启,,1016,https://www.36kr.com/p/3968898900095491,https://img.36krcdn.com/hsossms/20260904/v2_eb2f222f057c48728b71a528484daab8@16519798_oswg585267oswg600oswg400_img_png,36氪,热榜,2026-09-06 01:15:54
1,刚刚，Claude首次证明费马大定理，清华姚班大神出手了,,43127,https://www.36kr.com/p/3969755274883328,https://img.36krcdn.com/hsossms/20260905/v2_032cc26a2b60493fa16eaa00f75cc3ea@000000@ai_oswg978054oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
2,AGI，真的来了？,,31685,https://www.36kr.com/p/3969215933421190,"https://img.36krcdn.com/hsossms/20260904/v2_28930143d0cb4394bf308fc16f480c79@000000_oswg74751oswg1280oswg544_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 02:22:15
3,大模型蒸馏时代结束：Fable 5.1改写API，彻底切断蒸馏后路,,24432,https://www.36kr.com/p/3969755353723393,https://img.36krcdn.com/hsossms/20260905/v2_00d70664ddae4e7c927c26facf4fc082@000000@ai_oswg535873oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
4,9点1氪丨大众汽车宣布全球裁员10万；月之暗面据悉计划今年在香港进行IPO；国家统计局：全国打工人周均工作48.2小时,,17471,https://www.36kr.com/p/3969804742111746,"https://img.36krcdn.com/hsossms/20260905/v2_1187d4836a3f4c75be53a7be6356509f@000000_oswg37473oswg899oswg383_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 02:22:15
5,苹果提前“揭晓”触屏MacBook Pro，我终于能戳同事电脑了,,13421,https://www.36kr.com/p/3969992945955076,https://img.36krcdn.com/hsossms/20260905/v2_49419e3fd8634bfa9d236e9d09291206@000000@ai_oswg883725oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
6,互联网最古老的恐惧，被 AI 复活了,,8770,https://www.36kr.com/p/3969943690064136,https://img.36krcdn.com/hsossms/20260905/v2_3896cde95ea14db68d22a443591fd65e@000000@ai_oswg866651oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
7,WorkBuddy 开放生态，腾讯不想被困桌面,,6845,https://www.36kr.com/p/3970051115266306,https://img.36krcdn.com/hsossms/20260905/v2_da56f4f7c36046f0b4073e9a28dccdad@000000@ai_oswg935597oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
8,大声造车的追觅，只撑了一年,,6544,https://www.36kr.com/p/3969787100770825,https://img.36krcdn.com/hsossms/20260905/v2_ad45f4147f0b4c559f7b72d69e2f049c@000000@ai_oswg697538oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
9,字节拿到296亿美元“弹药”：大厂集体为AI找钱，还能烧多久，谁先扛不住？,,5844,https://www.36kr.com/p/3969914762670601,https://img.36krcdn.com/hsossms/20260905/v2_c74f1c1495ac4dd4a8dfe176c5f44f19@000000@ai_oswg887658oswg2848oswg1600_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
10,HBM，生变,,5351,https://www.36kr.com/p/3969913513341185,https://img.36krcdn.com/hsossms/20260905/v2_185212bbc80d4838be9cfe67caced6cd@000000@ai_oswg758511oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
11,8.9万成“加盟”商，星巴克对抗星巴克？,,5243,https://www.36kr.com/p/3970051041014277,https://img.36krcdn.com/hsossms/20260905/v2_523bebf975ee4beb999c7de7dd4f752a@000000@ai_oswg1047361oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
12,中国开源模型，正成为全球 AI 的“度量衡”,,5151,https://www.36kr.com/p/3970014644295303,"https://img.36krcdn.com/hsossms/20260905/v2_614c7c6f0c0a4b679ef5f906069f6a7f@6181939_oswg141855oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 02:22:15
13,李斌：AI给汽车行业带来三重暴击，蔚来价值被市场低估,,4673,https://www.36kr.com/p/3970150442709510,https://img.36krcdn.com/hsossms/20260905/v2_5dc74a0fcf3a434d98d4130cc32a1763@000000@ai_oswg1070774oswg2848oswg1600_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
14,服饰行业终于有了新故事：从老外反向代购，到把店开到巴黎,,4242,https://www.36kr.com/p/3969287628199814,"https://img.36krcdn.com/hsossms/20260905/v2_b629624722994d5799656b46f9306cc4@000000_oswg55403oswg889oswg377_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,2026-09-06 02:22:15
15,万元AI研学营，正在批量收割家长,,3796,https://www.36kr.com/p/3969834502238723,https://img.36krcdn.com/hsossms/20260905/v2_81b4611fa5f845e0b3a59d5281741456@000000@ai_oswg813024oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,2026-09-06 02:22:15
