index,title,desc,hot,url,image,source,type,ranking_id,published_at,datetime,surface
1,8点1氪丨8月一线城市房价上涨；携程上架510万一张的太空旅行船票；字节跳动上半年净利润出现下滑，但海外收入占比再创新高,,37398,https://www.36kr.com/p/3985321952115717,"https://img.36krcdn.com/hsossms/20260916/v2_a79fc6bd3c774efe9694864b4b1441a2@5667365_oswg82810oswg1053oswg495_img_jpg?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,hot,,2026-09-17 00:23:37,
2,突发，GPT-6 Sol曝光了,,30122,https://www.36kr.com/p/3985293994949633,https://img.36krcdn.com/hsossms/20260916/v2_becfb3d73f69459b80170427e31098c7@000000@ai_oswg686380oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
3,英伟达带动AI数据中心大变革，中国厂商不想当边缘人,,23161,https://www.36kr.com/p/3985697915042560,"https://img.36krcdn.com/hsossms/20260916/v2_772a4fc7835541e381dc76bc57b3725e@6310669_oswg1237936oswg1053oswg495_img_png?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,hot,,2026-09-17 00:23:37,
4,大脑没有变老，只是你在按部就班给它“投毒”,,18410,https://www.36kr.com/p/3959002521779593,https://img.36krcdn.com/hsossms/20260828/v2_6545fd5437e246f48f8b3bdfd38da414@1694@ai_oswg717760oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
5,节假日闹钟有了，苹果iOS 27深度体验：更像安卓，但也更好用了,,14114,https://www.36kr.com/p/3984712284182145,https://img.36krcdn.com/hsossms/20260915/v2_bf55b5532e72437693dec833d79941a1@1743780481@ai_oswg787521oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
6,中年男人的「美役三件套」，一年烧掉半辆车？,,12589,https://www.36kr.com/p/3985388726909960,https://img.36krcdn.com/hsossms/20260916/v2_59ccc012c26b47f2bc209db59d938489@1743780481@ai_oswg886269oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
7,四个月市值蒸发超7000亿，宁德时代，护城河“裂痕”隐现,,11603,https://www.36kr.com/p/3985380213446281,https://img.36krcdn.com/hsossms/20260916/v2_e8b9a071635e4a0180e1d379d116e0bc@1743780481@ai_oswg952539oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
8,AirPods 5 首发体验：999 元起，最有性价比的苹果降噪耳机,,10302,https://www.36kr.com/p/3985562374306820,https://img.36krcdn.com/hsossms/20260916/v2_a237bf45f0814faaa9e979d9c6970074@000000@ai_oswg660655oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
9,5个小创业思路：一年之内替代朝九晚五的本职工作,,9524,https://www.36kr.com/p/3957455546809478,https://img.36krcdn.com/hsossms/20260827/v2_0b4f16c76ee548ffa21a4c8b16b95fa7@5382598@ai_oswg756122oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
10,北京五环边的现房，单价已降到了1万+？,,8238,https://www.36kr.com/p/3985467225553924,"https://img.36krcdn.com/hsossms/20260916/v2_082cf3708bee46178a07e4dbc6bfc6a7@000000_oswg86785oswg1260oswg536_img_000?x-oss-process=image/resize,m_mfit,w_600,h_400,limit_0/crop,w_600,h_400,g_center",36氪,热榜,hot,,2026-09-17 00:23:37,
11,GPT-6刷到99.9%，ARC AGI考卷被迫重做，下一关考「发明」,,7954,https://www.36kr.com/p/3985494895115010,https://img.36krcdn.com/hsossms/20260916/v2_6e7f626447f143e79e509a417e495cc8@1743780481@ai_oswg950388oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
12,A社“AI末日”资本黑手被揪出，炒作焦虑为IPO圈钱，难怪仇视DeepSeek开源,,7538,https://www.36kr.com/p/3985454676671495,https://img.36krcdn.com/hsossms/20260916/v2_660b5d520cf747739caee5f0a7201f3e@1743780481@ai_oswg819872oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
13,重磅发现：GPT-6 Astra实现具身智能突破，中国如何打具身防卫战？,,7476,https://www.36kr.com/p/3985769854974977,https://img.36krcdn.com/hsossms/20260916/v2_c238dd92f29a4cb19c1116d2f964bd99@5888275@ai_oswg808654oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
14,中国AI使用比例过半,,6621,https://www.36kr.com/p/3985523007372292,https://img.36krcdn.com/hsossms/20260916/v2_076f4ac247f945cb859567afe8cd52ab@000000@ai_oswg777732oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
15,“请3休13”全网狂欢，景区却一点都笑不出来,,6606,https://www.36kr.com/p/3985457135418117,https://img.36krcdn.com/hsossms/20260916/v2_53ecaeef5e3547d6bf6aa65302cefd78@6208419@ai_oswg843275oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
16,把大脑外包给AI之后，人类正在集体变笨,,6437,https://www.36kr.com/p/3985478144572163,https://img.36krcdn.com/hsossms/20260916/v2_e63fc820826b4c4aa95678fb2b622b7c@1743780481@ai_oswg880409oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
17,黄仁勋正演讲，特朗普突然电话，通话被直播（附演讲全文）,,6229,https://www.36kr.com/p/3985513458875143,https://img.36krcdn.com/hsossms/20260916/v2_799ce7e3d8f94c4295026f6ca25c3f36@1743780481@ai_oswg810907oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
18,“我希望革我自己命的人是我自己”，DeepSeek工程师拥抱AI加速恐惧,,6206,https://www.36kr.com/p/3985581750228867,https://img.36krcdn.com/hsossms/20260916/v2_e64a5e217d994c478b540e37183b9b2c@5888275@ai_oswg928316oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
19,AI眼镜，谁是第一？,,6059,https://www.36kr.com/p/3985354389912323,https://img.36krcdn.com/hsossms/20260916/v2_3d64d47a7295455b97bd3ef1510586d1@000000@ai_oswg869846oswg2048oswg2048_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
20,罗永浩为何总被身边人“炮轰”？,,5913,https://www.36kr.com/p/3985525689563904,https://img.36krcdn.com/hsossms/20260916/v2_665298f7beb04e10a95703bf2d9d393e@1743780481@ai_oswg782606oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
21,火了十年的热门行业，现在最缺活人感,,5867,https://www.36kr.com/p/3985359655746564,https://img.36krcdn.com/hsossms/20260916/v2_8707c03e74c649bda10139d89aa16389@000000@ai_oswg922317oswg2304oswg1728_img_000~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
22,别把自由拱手让人 如何用批判性思考夺回生活的主导权,,5744,https://www.36kr.com/p/3962852607720583,https://img.36krcdn.com/hsossms/20260831/v2_f50bdb6ef5fa41d88a4724d347417495@1694@ai_oswg751063oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,36氪,热榜,hot,,2026-09-17 00:23:37,
