index,title,desc,hot,url,image,source,type,ranking_id,published_at,datetime
1,Reveals cancer diagnosis,,,"https://www.bing.com/news/topicview?q=Gillian+Gilbert+reveals+cancer+diagnosis&filters=tnTID%3d%22PE_FFE2B568-ECA3-4DD7-A047-81A13A2F09FE%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%220%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
2,Catherine Ringer dies,,,"https://www.bing.com/news/topicview?q=Rita+Mitsouko%e2%80%99s+singer+dead+at+68&filters=tnTID%3d%22PE_C078B3C0-6280-4509-9CA0-FA936DB44BC5%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%221%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
3,Breaks Emmys record,,,"https://www.bing.com/news/topicview?q=%e2%80%98Widow%e2%80%99s+Bay%e2%80%99+breaks+Emmys+record&filters=tnTID%3d%22PE_BAD2FB2F-F641-4437-9D76-D3C025D5DAC1%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%222%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
4,US Midterm Election,,,"https://www.bing.com/news/topicview?q=US+How+to+Vote&filters=tnTID%3d%22PE_1991C25D-DCC8-4749-89EC-7BE4F04E5C12%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%223%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
5,Nominates for US ambassador,,,"https://www.bing.com/news/topicview?q=Trump+nominates+Lee+Greenwood%27s+wife+to+serve+as+ambassador+to+Barbados&filters=tnTID%3d%22PE_283D875E-A8FE-422F-9511-90D53584527A%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%224%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
6,Apologizes to ESPN reporter,,,"https://www.bing.com/news/topicview?q=Texas+QB+Arch+Manning+apologizes+to+ESPN+reporter+Holly+Rowe&filters=tnTID%3d%22PE_D32CC634-7C8B-4DC2-BECE-C4419EA70F9C%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%225%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
7,House passes Iran measure,,,"https://www.bing.com/news/topicview?q=House+passes+Iran+war+powers+resolution&filters=tnTID%3d%22PE_2AA74BE9-D199-42FC-AFC2-AFC6F2BB7DB9%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%226%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
8,Court orders NK to pay $32.5M,,,"https://www.bing.com/news/topicview?q=South+Korean+court+orders+North+Korea+to+pay+%2432.5+million+for+blowing+up+joint+liaison+office&filters=tnTID%3d%22PE_E023A6EC-30C0-4124-8FD7-AF89A065D090%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%227%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
9,Saudi cancels oil cargoes,,,"https://www.bing.com/news/topicview?q=Saudi+cancels+some+oil+cargoes+after+pipeline+hit&filters=tnTID%3d%22PE_81340E1C-42BD-407C-964E-83E365607904%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%228%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
10,Speaks out on Macklemore,,,"https://www.bing.com/news/topicview?q=Ed+Sheeran+speaks+out+on+Macklemore&filters=tnTID%3d%22PE_0A7E789C-F762-40F1-858C-2C9A2D279B06%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%229%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
11,Awarded damages over heist,,,"https://www.bing.com/news/topicview?q=Kim+Kardashian+awarded+damages+over+2016+heist&filters=tnTID%3d%22PE_6E437269-E307-4C7B-BD64-942F9FEA435E%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2210%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
12,Helicopter crashes in LA,,,"https://www.bing.com/news/topicview?q=Three+dead+after+helicopter+crash+in+Los+Angeles&filters=tnTID%3d%22PE_AB158737-0F70-4CCD-B94B-B435E60389D0%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2211%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
13,Moves to impeach Hegseth,,,"https://www.bing.com/news/topicview?q=Thomas+Massie+launches+effort+to+impeach+Pete+Hegseth+over+Iran+war&filters=tnTID%3d%22PE_CE844FB9-220B-4CFD-9552-35F66D1695E0%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2212%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
14,Placed on injured reserve,,,"https://www.bing.com/news/topicview?q=Browns+place+RB+Dylan+Sampson+on+injured+reserve+with+knee+injury&filters=tnTID%3d%22PE_EEF8B8E9-7CC5-4A43-982F-8D957062A0E1%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2213%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
15,Restricts visas to S Africans,,,"https://www.bing.com/news/topicview?q=US+restricts+visas+to+S+Africans+over+land+expropriation+law&filters=tnTID%3d%22PE_3C1D039D-976E-4F4B-B69E-88DA05163A04%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2214%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
16,Backs partnership w/ Canada,,,"https://www.bing.com/news/topicview?q=EU+chief+Ursula+von+der+Leyen+says+she+wants+Canada+to+become+the+bloc%e2%80%99s+1st+associate+member&filters=tnTID%3d%22PE_D479FA39-6411-4746-A5F7-7C857112E4D4%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2215%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
17,Texas family sues Ken Paxton,,,"https://www.bing.com/news/topicview?q=Family+of+Texas+pregnant+woman+who+died+sues+Texas+AG+Ken+Paxton&filters=tnTID%3d%22PE_FA2681BC-D9E3-4137-8ADC-7E6F995F8E84%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2216%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
18,Ruled out for season,,,"https://www.bing.com/news/topicview?q=Astros%e2%80%99+Carlos+Correa+ruled+out+for+the+season&filters=tnTID%3d%22PE_475AE210-2E33-404E-9085-8EC3F33D7D84%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2217%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
19,Sudan mine collapse kills 67+,,,"https://www.bing.com/news/topicview?q=A+gold+mine+collapse+kills+at+least+67+people+in+a+remote+area+in+Sudan&filters=tnTID%3d%22PE_3AFB2A92-BD36-4DDE-A9FE-CBBDE8A7CB75%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2218%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
20,Kosovo's ex-pres sentenced,,,"https://www.bing.com/news/topicview?q=Kosovo%27s+former+President+Thaci+sentenced+to+25+years+for+war+crimes&filters=tnTID%3d%22PE_17C6EBEB-E31F-4073-A78A-54AA64C24908%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2219%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
21,19 dead in Gaza collapse,,,"https://www.bing.com/news/topicview?q=Building+collapse+in+Gaza+kills+at+least+19+people&filters=tnTID%3d%22PE_49EC0C75-2587-40DA-8B8A-BDB404C21D4B%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2220%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
22,Won't face death penalty,,,"https://www.bing.com/news/topicview?q=Nick+Reiner+won%27t+face+death+penalty+in+murder+of+Rob+and+Michele+Reiner&filters=tnTID%3d%22PE_C8F1AEA9-0955-45B6-B58B-AF027331C61E%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2221%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
23,Issue advisory on IR spyware,,,"https://www.bing.com/news/topicview?q=UK%2c+US+and+Netherlands+issue+advisory+on+Iran+spyware&filters=tnTID%3d%22PE_C3B05C01-93E1-4810-A947-BE45BB797F23%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2222%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
24,Clarity Act fails in Senate,,,"https://www.bing.com/news/topicview?q=Clarity+Act+fails+to+advance+in+Senate&filters=tnTID%3d%22PE_5F0A5777-0FD0-42AA-9599-7EB78B0D9067%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2223%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
25,Faces contempt in probe,,,"https://www.bing.com/news/topicview?q=House+Oversight+votes+to+hold+Leon+Black+in+contempt+in+Epstein+probe&filters=tnTID%3d%22PE_8CFBAE64-7A91-47A1-859B-3A5585F14DDF%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2224%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
26,Belarus frees 25 prisoners,,,"https://www.bing.com/news/topicview?q=Belarus+frees+25+prisoners&filters=tnTID%3d%22PE_EC855166-15E8-4C5F-B374-34DFE16FB675%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2225%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
27,Unveils Meta One subscription,,,"https://www.bing.com/news/topicview?q=Meta+unveils+Meta+One+subscription+with+AI+tools+and+creator+features&filters=tnTID%3d%22PE_938DBD79-576B-4F6A-B7AA-46AC0C7D15A6%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2226%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
28,Judge seeks Krasner probe,,,"https://www.bing.com/news/topicview?q=Judge+requests+federal+probe+into+Larry+Krasner&filters=tnTID%3d%22PE_DBE5C90F-0E3E-4F3B-9959-1556034F0D51%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2227%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
29,Otis CEO Marks to retire,,,"https://www.bing.com/news/topicview?q=Otis+CEO+Marks+to+retire+next+year&filters=tnTID%3d%22PE_BA278258-2B74-41C4-8316-D5465A254EC5%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2228%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
30,Unveils maternal health push,,,"https://www.bing.com/news/topicview?q=Gov.+Healey+unveils+push+to+expand+action+on+maternal+healthcare&filters=tnTID%3d%22PE_C18D5E9C-4809-4B99-9F6D-7B9D7BE2F12C%22+tnVersion%3d%226859344%22+Segment%3d%22popularnow.carousel%22+article%3d%221%22+tnCol%3d%2229%22+tnOrder%3d%220dfb9ade-4c33-4d2c-b234-bb916f6bdc5f%22&nvaug=%5bNewsVertical+topicviewtype%3d""2""%5d&form=NWBTTC",,必应热门新闻,Trending on Bing（美国新闻）,trending-news,,2026-09-17 01:27:12
