index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
1,财联社9月20日电，花旗集团CEO弗雷泽表示，人工智能的瓶颈已从芯片转向能源。,财联社9月20日电，花旗集团CEO弗雷泽表示，人工智能的瓶颈已从芯片转向能源。,481655,https://www.cls.cn/detail/2488374,,财联社,电报,live,live,2026-09-20 23:46:46,2026-09-21 00:09:21
2,卡塔尔投资局：参与了Crusoe公司39亿美元的F轮融资 以支持人工智能基础设施,【卡塔尔投资局：参与了Crusoe公司39亿美元的F轮融资 以支持人工智能基础设施】财联社9月20日电，卡塔尔投资局（QIA）今日宣布作为战略投资者参与了Crusoe公司39亿美元的F轮融资，后者估值为309亿美元。融资由Atreides Management、Mubadala Capital和Valor Equity Partners牵头，Founders Fund、GIC、NVIDIA、Radical Ventures和TPG也参与了融资。Crusoe采用能源优先战略构建人工智能基础设施，直接从源头发电和管理电力。此次融资将支持公司扩大现有AI基础设施项目，并支持自有AI工厂的建设，从大型,514971,https://www.cls.cn/detail/2488367,,财联社,电报,live,live,2026-09-20 23:09:31,2026-09-21 00:09:21
3,美官员称美军不会对胡塞武装发动进攻性打击,【美官员称美军不会对胡塞武装发动进攻性打击】财联社9月20日电，据美国方面20日消息，一名美国官员称，美军不会对也门胡塞武装发动“进攻性打击”。消息称，据匿名美国官员披露，迄今为止，美国军方提供的支持仅限于为沙特阿拉伯针对胡塞武装的打击行动提供情报和目标数据，近期就此加大与沙特的共享力度，美方认为已向沙特提供其对抗胡塞武装“所需的一切支持”。,467431,https://www.cls.cn/detail/2488366,,财联社,电报,live,live,2026-09-20 23:09:07,2026-09-21 00:09:21
4,财联社9月20日电，美国中央司令部称，在伊朗封锁相关事件中，已有109艘商船被改道。,财联社9月20日电，美国中央司令部称，在伊朗封锁相关事件中，已有109艘商船被改道。,501358,https://www.cls.cn/detail/2488365,,财联社,电报,live,live,2026-09-20 23:03:50,2026-09-21 00:09:21
5,卡塔尔能源CEO：一旦霍尔木兹海峡重新开放 卡塔尔可以在几周内恢复正常的天然气运营,财联社9月20日电，卡塔尔能源CEO称，一旦霍尔木兹海峡重新开放，卡塔尔可以在几周内恢复正常的天然气运营。,501171,https://www.cls.cn/detail/2488364,,财联社,电报,live,live,2026-09-20 23:01:24,2026-09-21 00:09:21
6,长鑫科技：第五代工艺技术平台实现量产,【长鑫科技：第五代工艺技术平台实现量产】财联社9月20日电，长鑫科技(688825.SH)公告称，公司于2026年9月20日在世界制造业大会上宣布，第五代工艺技术平台正式实现量产，并同步展出基于该平台打造的大容量LPDDR5X产品。,476123,https://www.cls.cn/detail/2488362,,财联社,电报,live,live,2026-09-20 22:51:35,2026-09-21 00:09:21
7,中美经贸磋商在美国纽约开始举行,【中美经贸磋商在美国纽约开始举行】当地时间9月20日上午，中美两国经贸团队在美国纽约开始举行中美经贸磋商。,508932,https://www.cls.cn/detail/2488361,,财联社,电报,live,live,2026-09-20 22:50:13,2026-09-21 00:09:21
8,南非赛车冠军遭枪杀 3名嫌疑人被捕,【南非赛车冠军遭枪杀 3名嫌疑人被捕】财联社9月20日电，南非警方19日发布声明说，已逮捕3名涉嫌枪杀本土知名赛车手罗伯特·沃尔克的嫌疑人。沃尔克曾多次获得南非国内赛车赛事冠军。他16日在豪登省埃库尔胡莱尼都市自治区遭遇一起疑似“路怒症”引发的枪击事件，当场身亡，终年41岁。有消息称，事发时，沃尔克驾驶一辆奥迪汽车与一辆大众捷达轿车发生碰撞。沃尔克下车查看车辆受损情况后，与对方发生争执，随后遭枪击。警方在19日的声明中表示，已抓获3名嫌疑人，同时查获事发时嫌疑人驾驶的车辆。警方判断，这辆车与另外两起涉及劫车及谋杀的案件有关。上述嫌疑人目前面临谋杀、持有涉嫌被劫或被抢车辆以及非法持有枪支弹药等罪,497922,https://www.cls.cn/detail/2488360,,财联社,电报,live,live,2026-09-20 22:48:26,2026-09-21 00:09:21
9,特朗普：也门胡塞武装同意不与美国交战,【特朗普：也门胡塞武装同意不与美国交战】财联社9月20日电，美国总统特朗普20日对福克斯新闻频道说，美国同也门胡塞武装保持着沟通，他们同意不与美国交战。,517221,https://www.cls.cn/detail/2488359,,财联社,电报,live,live,2026-09-20 22:43:31,2026-09-21 00:09:21
10,财联社9月20日电，明尼阿波利斯联邦储备银行主席尼尔·卡什卡利（Neel Kashkari）表示，美联储的职责是将通胀率拉回2%的目标水平。他同时指出，当前通胀仍然过高。,财联社9月20日电，明尼阿波利斯联邦储备银行主席尼尔·卡什卡利（Neel Kashkari）表示，美联储的职责是将通胀率拉回2%的目标水平。他同时指出，当前通胀仍然过高。,497319,https://www.cls.cn/detail/2488358,,财联社,电报,live,live,2026-09-20 22:41:59,2026-09-21 00:09:21
11,【金牌纪要库】康宁显示玻璃基板涨价，AI先进封装玻璃基板进入验证期,,118097,https://www.cls.cn/detail/2488247,,财联社,电报,live,live,2026-09-20 22:40:13,2026-09-21 00:09:21
12,财联社9月20日电，卡塔尔首相表示，卡塔尔预计未来五年将授予约385亿美元的新基础设施项目。,财联社9月20日电，卡塔尔首相表示，卡塔尔预计未来五年将授予约385亿美元的新基础设施项目。,518138,https://www.cls.cn/detail/2488355,,财联社,电报,live,live,2026-09-20 22:18:48,2026-09-21 00:09:21
13,农业农村部部署进一步规范农药兽药网络经营秩序,【农业农村部部署进一步规范农药兽药网络经营秩序】财联社9月20日电，农业农村部农药兽药综合整治专班近日组织召开农药兽药网络经营平台座谈会，通报进一步规范农药兽药生产经营使用综合整治行动进展情况，交流农药兽药网络经营中存在的问题，部署进一步规范网络经营秩序有关工作。据了解，由七部门部署的进一步规范农药兽药生产经营使用综合整治行动自2026年7月启动，2027年3月结束。这项行动对禁限用农药兽药生产、经营、网络销售、使用等，依法开展全环节全链条整治，严打禁限用农药兽药非法生产经营使用行为。,531378,https://www.cls.cn/detail/2488353,,财联社,电报,live,live,2026-09-20 22:14:24,2026-09-21 00:09:21
14,【公告全知道】被动元件+MLPC+数据中心+液冷+汽车电子！公司拟不超18亿元扩建高端电容产能,,114549,https://www.cls.cn/detail/2488299,,财联社,电报,live,live,2026-09-20 22:06:28,2026-09-21 00:09:21
15,财联社9月20日电，美国财长贝森特表示，数据持续表明，外资对美国资产的需求强劲。,财联社9月20日电，美国财长贝森特表示，数据持续表明，外资对美国资产的需求强劲。,518976,https://www.cls.cn/detail/2488347,,财联社,电报,live,live,2026-09-20 21:57:06,2026-09-21 00:09:21
16,财联社9月20日电，泛大西洋投资集团（General Atlantic）CEO福特（Ford）表示，IPO是公司会考虑的方向之一，同时公司也在评估其他筹集资本的途径。,财联社9月20日电，泛大西洋投资集团（General Atlantic）CEO福特（Ford）表示，IPO是公司会考虑的方向之一，同时公司也在评估其他筹集资本的途径。,502598,https://www.cls.cn/detail/2488346,,财联社,电报,live,live,2026-09-20 21:52:07,2026-09-21 00:09:21
17,【风口研报·洞察】OCS（光路交换机）WSS高端液晶材料附加值有望抬升，国内液晶材料企业已在WSS等领域展开布局，算力集群扩张打开光交换增量空间；趁胜追击双创拐点,,91396,https://www.cls.cn/detail/2488126,,财联社,电报,live,live,2026-09-20 21:50:38,2026-09-21 00:09:21
18,下周资本市场大事提醒：中秋、国庆假期来临；亚太多地股市密集休市；中美举行经贸磋商,"【下周资本市场大事提醒：中秋、国庆假期来临；亚太多地股市密集休市；中美举行经贸磋商】
1、沪深北三大交易所2026年中秋节、国庆节休市安排：9月25日(星期五)至9月27日(星期日)休市，9月28日(星期一)起照常开市，10月1日(星期四)至10月7日(星期三)休市，10月8日(星期四)起照常开市。另外，9月20日(星期日)、10月10日(星期六)为周末休市。
2、商务部新闻发言人表示，经中美双方商定，中共中央政治局委员、国务院副总理何立峰将于9月19日—23日率团赴美国与美方举行经贸磋商。双方将以两国元首重要共识为引领，就彼此关心的经贸问题开展磋商。
3、国新办将于9月21日就守住管好“大国",536893,https://www.cls.cn/detail/2488341,,财联社,电报,live,live,2026-09-20 21:42:36,2026-09-21 00:09:21
19,特朗普称将对伊朗作出重大决定,【特朗普称将对伊朗作出重大决定】美国总统特朗普今天在接受福克斯新闻记者扬斯特电话采访时表示，美国对伊朗问题正处于“决策阶段”，未来“不久”将发生“非常重大的事情”。扬斯特在节目中称，特朗普表示目前摆在桌面上的选项包括“彻底摧毁伊朗”，让伊朗经济继续恶化，或者达成协议。特朗普还表示，他正在考虑“何时以及是否”对伊朗采取彻底军事行动。扬斯特表示，目前尚不清楚特朗普所说的“不久”具体意味着数小时还是数天。报道说，此前特朗普突然提前结束在马里兰州戴维营的周末行程并返回白宫，引发外界对美国可能进一步采取军事行动的猜测。,510770,https://www.cls.cn/detail/2488342,,财联社,电报,live,live,2026-09-20 21:32:03,2026-09-21 00:09:21
20,特朗普晒美太空军新制服,【特朗普晒美太空军新制服】财联社9月20日电，美国总统特朗普近期在个人社交账号发布疑似AI生成的太空军“全新制服”设计图，这套炭黑色套装细节处点缀专属太空军徽章，设计灵感源自经典科幻作品《星河战队》，主打未来太空作战风格的现代化改造。,550535,https://www.cls.cn/detail/2488340,,财联社,电报,live,live,2026-09-20 21:17:12,2026-09-21 00:09:21
