index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
1,2026年福利汇总第134期 ：甜味玉米,福利汇总 · 10 条评论 · BGM：《Cắt Đôi Nỗi Sầu》：点击播放 热门视频： 怪不得说能当团播的都不是一般人，龙浩天走播一场就是好几个小时 难评，太难评了 用iPhone的形,28552,https://fuliba2023.net/2026134.html,https://img03.sogoucdn.com/v2/thumb/retype_exclude_gif/ext/auto/q/100/?appid=122&url=tvax4.sinaimg.cn/large/006BNqYCly1ihdsa6ulp7j30wi0kogo4.jpg,福利吧,最新文章,latest,hotlist,2026-09-24,2026-09-25 00:26:24
2,歌曲推荐：柬埔寨迷幻流行摇滚乐专辑《Cambodian Rocks》 附纪录片《别认为我忘了:柬埔寨失去的摇滚乐》,福利吧 · 1 条评论 · 之前我们更新过一期食贫道的节目中讲过柬埔寨的摇滚音乐 2026.03.21食贫道最新纪录片食视频《电诈 摇滚 吴哥窟》 当时那个节目记录了一部分柬埔寨音乐,7195,https://fuliba2023.net/cambodian-rocks.html,https://img03.sogoucdn.com/v2/thumb/retype_exclude_gif/ext/auto/q/100/?appid=122&url=tvax3.sinaimg.cn/large/006BNqYCly1ihdt5his8lj30ov0ov7jh.jpg,福利吧,最新文章,latest,hotlist,2026-09-24,2026-09-25 00:26:24
3,限免：DearMob iPhone Manager – iPhone/iPad 照片、视频传输，应用安装、整机备份恢复、换机工具[Win/macOS],福利吧 · 0 条评论 · 限免：DearMob iPhone Manager – iPhone/iPad 照片、视频传输，应用安装、整机备份恢复、换机工具[Win/macOS] Finder传输到一半又崩溃了？iCloud空间,2251,https://fuliba2023.net/dearmob.html,https://img03.sogoucdn.com/v2/thumb/retype_exclude_gif/ext/auto/q/100/?appid=122&url=https://tva1.sinaimg.cn/large/009Zip4ygy1ihew48m96dj30ui0leahn.jpg,福利吧,最新文章,latest,hotlist,2026-09-24,2026-09-25 00:26:24
4,淘宝京东优惠商品汇总，9月24日9点更新 购物领券fuliba99.net,购物网赚 · 314 条评论 · 购物搜券：福利久久 — 精选好货，实时更新 商品更新较快，请加购物群获得第一手消息。微信扫码加好友，回复“京东群”或者“淘宝群”自动拉你。 500g,455204,https://fuliba2023.net/99.html,https://img03.sogoucdn.com/v2/thumb/retype_exclude_gif/ext/auto/q/100/?appid=122&url=https://tva1.sinaimg.cn/large/009Zip4ygy1ihejk5oza8j309q09qgmb.jpg,福利吧,最新文章,latest,hotlist,2026-09-24,2026-09-25 00:26:24
5,ましゅまろ団：《交友软件上认识的辣妹居然是个土味女》 谁是谁的菜？,漫画推荐 · 7 条评论 · 今天给大家推荐的是画师“ましゅまろ団”的一个短篇作品 作品总计51P，故事是常见的约会见面套路，感觉有同类的真人版 没有的话，这剧情也很适合改编,13846,https://fuliba2023.net/tuweimeidechuntian.html,https://img03.sogoucdn.com/v2/thumb/retype_exclude_gif/ext/auto/q/100/?appid=122&url=tvax1.sinaimg.cn/large/006BNqYCly1ihdoy8qgy6j31320tnamf.jpg,福利吧,最新文章,latest,hotlist,2026-09-23,2026-09-25 00:26:24
6,蔡文娜：军阀姨太太的真实生活是什么样的？ 附《一个过渡时代的家庭》论文,福利吧 · 3 条评论 · 之前在抖音刷到一个视频，讲述了一个军阀太太“蔡文娜”考入大学 写了一篇记录自己婚姻生活的社会学论文，论文是客观的，故事是悲剧的 “蔡文娜”没有,25560,https://fuliba2023.net/gdsddjt.html,https://img03.sogoucdn.com/v2/thumb/retype_exclude_gif/ext/auto/q/100/?appid=122&url=tvax4.sinaimg.cn/large/006BNqYCly1ihb460bhx3j30af0ehwgd.jpg,福利吧,最新文章,latest,hotlist,2026-09-23,2026-09-25 00:26:24
7,【福利】5.9元买二锅头送京东标准洗车&蚂蚁阿福智能体脂秤到手4.9元,购物网赚 · 18 条评论 · 京东下单二锅头，送京东工作日标准洗车一次。 商品价7.9元包邮，加购物车，会送一个2-2元的优惠券（或购物车内右侧砸蛋）， 实付5.9，主要是薅洗车福,21330,https://fuliba2023.net/wolai.html,https://img03.sogoucdn.com/v2/thumb/retype_exclude_gif/ext/auto/q/100/?appid=122&url=https://tva1.sinaimg.cn/large/009Zip4ygy1ihcfu9nketj309q09qaas.jpg,福利吧,最新文章,latest,hotlist,2026-09-22,2026-09-25 00:26:24
8,2026年福利汇总第133期 ：蜜桃甜妹,福利汇总 · 13 条评论 · BGM：《黄河谣》：点击播放 热门视频： 太牛逼了，崔健在2026湾区升明月演唱《时间的b面》把全场看傻眼 解读《末代皇帝》配乐：音乐到底是如何表达一,56628,https://fuliba2023.net/2026133.html,https://img03.sogoucdn.com/v2/thumb/retype_exclude_gif/ext/auto/q/100/?appid=122&url=tvax3.sinaimg.cn/large/006BNqYCly1ihc8qea2jbj33h04moe83.jpg,福利吧,最新文章,latest,hotlist,2026-09-22,2026-09-25 00:26:24
9,河北彩花：空姐主题新作片头居然是用AI生成 老乡越来越不走心？,业界速报 · 11 条评论 · 最近河北老乡又上热搜了，这次成为话题主要有俩原因 第一就是最近发布的一部空姐主题作品 开幕的一段居然全部都是AI生成的，不少网友吐槽老乡越来越敷,21460,https://fuliba2023.net/snos-377.html,https://img03.sogoucdn.com/v2/thumb/retype_exclude_gif/ext/auto/q/100/?appid=122&url=tvax4.sinaimg.cn/large/006BNqYCly1ihb5ip7rm6g30m80ciqv5.gif,福利吧,最新文章,latest,hotlist,2026-09-22,2026-09-25 00:26:24
10,2026年9月趣站分享：听记/App比价/图标制作/装机软件 中国天气地图,趣站分享 · 7 条评论 · 趣味网站分享系列：https://fuliba2025.net/quwei 没有采取单发文章推荐的内容，大部分来自福利吧论坛或网友邮件投稿。 如果你也有不错的内容,17670,https://fuliba2023.net/website202609.html,https://img03.sogoucdn.com/v2/thumb/retype_exclude_gif/ext/auto/q/100/?appid=122&url=tvax1.sinaimg.cn/large/006BNqYCly1ift9t7n41kj315y0v1gwr.jpg,福利吧,最新文章,latest,hotlist,2026-09-21,2026-09-25 00:26:24
