index,title,desc,hot,url,image,source,type,ranking_id,surface,published_at,datetime
1,王祖藍,相关：王祖藍,2000,https://trends.google.com/trends/explore?q=%E7%8E%8B%E7%A5%96%E8%97%8D&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 12:20:00,2026-09-19 05:26:36
2,施 明,相关：施 明、李泳豪、施明,10000,https://trends.google.com/trends/explore?q=%E6%96%BD+%E6%98%8E&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 07:40:00,2026-09-19 05:26:36
3,遺囑,相关：遺囑,5000,https://trends.google.com/trends/explore?q=%E9%81%BA%E5%9B%91&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 05:20:00,2026-09-19 05:26:36
4,古天樂,相关：古天樂,5000,https://trends.google.com/trends/explore?q=%E5%8F%A4%E5%A4%A9%E6%A8%82&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 08:00:00,2026-09-19 05:26:36
5,布蘭特福德對切爾西,相关：布蘭特福德對切爾西、車路士,1000,https://trends.google.com/trends/explore?q=%E5%B8%83%E8%98%AD%E7%89%B9%E7%A6%8F%E5%BE%B7%E5%B0%8D%E5%88%87%E7%88%BE%E8%A5%BF&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 18:20:00,2026-09-19 05:26:36
6,高 息 股,相关：高 息 股、高息股,2000,https://trends.google.com/trends/explore?q=%E9%AB%98+%E6%81%AF+%E8%82%A1&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 08:40:00,2026-09-19 05:26:36
7,梁家輝,相关：梁家輝,2000,https://trends.google.com/trends/explore?q=%E6%A2%81%E5%AE%B6%E8%BC%9D&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 03:00:00,2026-09-19 05:26:36
8,關之琳,相关：關之琳,1000,https://trends.google.com/trends/explore?q=%E9%97%9C%E4%B9%8B%E7%90%B3&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 11:20:00,2026-09-19 05:26:36
9,挑情醜聞,相关：挑情醜聞、池昌旭,1000,https://trends.google.com/trends/explore?q=%E6%8C%91%E6%83%85%E9%86%9C%E8%81%9E&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 12:40:00,2026-09-19 05:26:36
10,挑情丑闻,相关：挑情丑闻,200,https://trends.google.com/trends/explore?q=%E6%8C%91%E6%83%85%E4%B8%91%E9%97%BB&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 15:40:00,2026-09-19 05:26:36
11,chelsea,相关：chelsea,200,https://trends.google.com/trends/explore?q=chelsea&geo=HK,,Google Trends,香港趋势,hk,hotlist,2026-09-18 18:50:00,2026-09-19 05:26:36
