index,title,desc,hot,url,image,source,type,ranking_id,published_at,datetime
1,deepseek-ai/DeepSeek-V4.1-Flash,244457 downloads · 2239 likes · image-text-to-text,2005,https://huggingface.co/deepseek-ai/DeepSeek-V4.1-Flash,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
2,openbmb/MiniCPM5-2B,150110 downloads · 1346 likes · text-generation,1141,https://huggingface.co/openbmb/MiniCPM5-2B,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
3,Edge0/Edge0-35B-A3B-preview,3552 downloads · 1117 likes · text-generation,1090,https://huggingface.co/Edge0/Edge0-35B-A3B-preview,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
4,nex-agi/Nex-N2.5-mini,3970 downloads · 759 likes · text-generation,602,https://huggingface.co/nex-agi/Nex-N2.5-mini,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
5,Qwen/Qwen3.8-27B,7768964 downloads · 15001 likes · image-text-to-text,564,https://huggingface.co/Qwen/Qwen3.8-27B,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
6,nex-agi/Nex-N2.5-Pro,30289 downloads · 624 likes · text-generation,479,https://huggingface.co/nex-agi/Nex-N2.5-Pro,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
7,ISTA-DASLab/Qwen3.8-27B-GSQ-RCO-GGUF,769557 downloads · 972 likes · image-text-to-text,478,https://huggingface.co/ISTA-DASLab/Qwen3.8-27B-GSQ-RCO-GGUF,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
8,XHToken/Spark-X2.5-4B,21336 downloads · 1155 likes · text-generation,465,https://huggingface.co/XHToken/Spark-X2.5-4B,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
9,m-a-p/YuE2-3B,3707 downloads · 421 likes · text-to-audio,399,https://huggingface.co/m-a-p/YuE2-3B,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
10,Lightricks/LTX-2.5,1548442 downloads · 3755 likes · image-to-video,370,https://huggingface.co/Lightricks/LTX-2.5,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
11,DavidAU/Qwen3.8-27B-TURBO-Fable-Cold-Fusion-735-882-Heretic-Uncensored-NEO-CODER-MAX-MTP-GGUF,750591 downloads · 642 likes · image-text-to-text,351,https://huggingface.co/DavidAU/Qwen3.8-27B-TURBO-Fable-Cold-Fusion-735-882-Heretic-Uncensored-NEO-CODER-MAX-MTP-GGUF,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
12,unsloth/Qwen3.8-27B-GGUF,11005880 downloads · 4022 likes,339,https://huggingface.co/unsloth/Qwen3.8-27B-GGUF,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
13,WarmBloodAban/Minimax-h3_Singularity,123491 downloads · 376 likes · image-to-video,266,https://huggingface.co/WarmBloodAban/Minimax-h3_Singularity,,Hugging Face,Trending Models,models,,2026-09-14 11:26:23
