index,title,desc,hot,url,image,source,type,ranking_id,published_at,datetime
1,亚运男足：中国2-1朝鲜，吴曦、张玉宁互相传射,,,https://m.hupu.com/bbs/642447464,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
2,投桃报李！张玉宁送助攻，吴曦挑射破门，中国2-1朝鲜,,,https://m.hupu.com/bbs/642447157,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
3,[JR热议]爆料：氧望老板拍板要解约，某主播大概率永久封禁,,,https://m.hupu.com/bbs/642447341,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
4,2026上海全球冠军赛规则书：禁止鞭尸、蹲起嘲讽，违者处罚,,,https://m.hupu.com/bbs/642446703,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
5,[流言板]亚运会男篮四强出炉：中国队迎战日本，韩国迎战伊朗男篮,,,https://m.hupu.com/bbs/642447795,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
6,【直播】管泽元被处罚后首次更新动态，全英文流畅采访塔图姆,,,https://m.hupu.com/bbs/642447649,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
7,[流言板]解说：中国男篮9月18日对阵日本，这场比赛的重要性不言而喻,,,https://m.hupu.com/bbs/642449321,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
8,崔国禁区抢点推射破门，中国0-1朝鲜,,,https://m.hupu.com/bbs/642446363,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
9,[JR热议]某厂商制作突然的陀螺键帽涉嫌侵权，TES准备起诉,,,https://m.hupu.com/bbs/642447617,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
10,[流言板]A-史密斯：文班亚马目前就是NBA门面，属于他的时代已经开启,,,https://m.hupu.com/bbs/642448560,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
11,[流言板]解除压力！德怀特-霍华德来到养生馆，享受SPA服务,,,https://m.hupu.com/bbs/642446407,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
12,老兵不死！昨晚武磊、张稀哲闪耀亚冠精英，今日吴曦拯救亚运男足,,,https://m.hupu.com/bbs/642447469,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
13,扳平比分！吴曦助攻张玉宁头球破门，中国1-1朝鲜,,,https://m.hupu.com/bbs/642446621,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
14,[流言板]亚运会：廖三宁砍下30分，中国男篮87-78战胜沙特晋级四强,,,https://m.hupu.com/bbs/642444973,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
15,【直播】大黄被开盒：没办法我没有律师团队啊，要不找雪峰老师帮我吧！,,,https://m.hupu.com/bbs/642443204,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
16,[流言板]广西超跑！廖三宁全场17中11，罚球9中7砍下30分7篮板4助攻,,,https://m.hupu.com/bbs/642445028,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
17,[流言板]官方：胡明轩、吴愉将担任亚运会开幕式中国体育代表团旗手,,,https://m.hupu.com/bbs/642446396,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
18,[JR热议]爱笑B站评论被扒：说爱笑不如郭皓真没道理,,,https://m.hupu.com/bbs/642442568,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
19,[流言板]法尔克：若奥利塞没和拜仁续约，拜仁考虑从利物浦签维尔茨,,,https://m.hupu.com/bbs/642447050,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
20,[情报站]26.19版本英雄加强：厄斐琉斯全武器改动；螳螂、蜘蛛加强,,,https://m.hupu.com/bbs/642442821,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
21,方程豹 s 发布，价格  18.99 万起，卷爆了，所有东西基本都标配，这个价格model3、su7、腾势z9gt都要哭了,,,https://m.hupu.com/bbs/642448054,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
22,[流言板]廖三宁抛投打进砍下30分，中国男篮还剩1分钟领先沙特7分,,,https://m.hupu.com/bbs/642444922,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
23,半场：中国1-1朝鲜，崔国破门，吴曦助攻张玉宁扳平,,,https://m.hupu.com/bbs/642446672,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
24,[JR热议]第五人格31岁亚运女教练，曾与14岁时的glacier交往并过夜,,,https://m.hupu.com/bbs/642442435,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
25,[流言板]2020年的今天，快船3-1领先的情况下被掘金连扳三场淘汰出局,,,https://m.hupu.com/bbs/642444699,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
26,[流言板]CP：7位巨星将逐鹿新赛季常规赛MVP，你认为谁是头号热门？,,,https://m.hupu.com/bbs/642449190,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
27,理想i9home正式发布，36.98万起，9系纯电旗舰这个价格，友商要骂人了,,,https://m.hupu.com/bbs/642447935,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
28,[流言板]中国vs朝鲜首发：王钰栋搭档张玉宁，吴曦领衔，李昊出战,,,https://m.hupu.com/bbs/642444661,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
29,【集锦】关键上篮杀死比赛！廖三宁30分7篮板4助攻 | 中国87-78沙特 | 亚运会,,,https://m.hupu.com/bbs/642445378,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
30,【直播】炫神公会老板：从viper把炫神拿下开始，就标志着lpl正式进入了大举报时,,,https://m.hupu.com/bbs/642443263,,虎扑,虎扑首页,home,,2026-09-17 00:23:57
1,男朋友买了苹果18，我想借他的旧手机用一段时间，他不愿意… ​​​,,248回复,https://bbs.hupu.com/642445808.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
2,年轻人居然敢惹代驾老哥,,81回复,https://bbs.hupu.com/642443174.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
3,陈建州血管堵了90%，一个天天打球的人，怎么就心梗了？,,73回复,https://bbs.hupu.com/642445286.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
4,如何评价这段小学一年级学生的课堂常规展示？到底是可怕的教育表演还是优秀课堂的典范？,,7回复,https://bbs.hupu.com/642449208.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
5,关于顺风车的定义我认为是下面这种，超出这个范围的部分应该市场化定价，让车主觉得“付出和回报对等”,,11回复,https://bbs.hupu.com/642449147.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
6,补个档吧,,26回复,https://bbs.hupu.com/642448448.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
7,风景,,152回复,https://bbs.hupu.com/642445299.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
8,最近被一个低端捞女耍了，我也承认自己煞笔，有没有好兄弟给出出主意，唉,,359回复,https://bbs.hupu.com/642440808.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
9,姐姐对着全家人打拳，咋办,,422回复,https://bbs.hupu.com/642439149.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
10,女朋友约我去钟点房,,28回复,https://bbs.hupu.com/642447674.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
11,演唱会想亲女友被当众推开，男生承认已分手，不丢人反而赢麻了,,181回复,https://bbs.hupu.com/642438806.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
12,传奇母虎 箭头，骨癌晚期仍能搏杀鳄鱼。,,30回复,https://bbs.hupu.com/642442806.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
13,曾经的外卖小哥赵家驹破纪录夺冠，拿下又一个被欧美长期垄断的赛事冠军！,,97回复,https://bbs.hupu.com/642440241.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
14,为什么大部分人觉得老板赚钱又多又轻松，却很少去当老板呢？,,21回复,https://bbs.hupu.com/642447721.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
15,你知道的，这是我最推荐的教做菜博主,,8回复,https://bbs.hupu.com/642447033.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
16,0916 北湾告一段落，休息,,49回复,https://bbs.hupu.com/642447194.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
17,给你1亿但要失去一项快感，你选哪个？,,18回复,https://bbs.hupu.com/642447363.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
18,带男友第一次回家，我爸不愿意给红包怎么办,,128回复,https://bbs.hupu.com/642443247.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
19,女朋友家结婚送亲要来二三十口人所有花费都要我承担。这个怎么聊,,130回复,https://bbs.hupu.com/642442967.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
20,抛砖引玉。,,92回复,https://bbs.hupu.com/642439872.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
21,双休8000和单休13000，你选哪个工作？,,5回复,https://bbs.hupu.com/642447251.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
22,加入苏联共产党，需要交3%的工资，每周开会，为何还有2000万人加入苏联共产党？,,18回复,https://bbs.hupu.com/642445947.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
23,网上一堆人说第一学历最重要，也有一堆人说不同行业之间的差异很大很大。所以大家能不能在评论区报一下自己的第一学历，行业方向和收入。我想感受一下，收入是和第一学历关系更大，还是和行业方向关系更大。,,30回复,https://bbs.hupu.com/642446023.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
24,导播加鸡腿，越南足球比赛拍到的暖心一幕,,28回复,https://bbs.hupu.com/642441550.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
25,你说个股，我来聊,,12回复,https://bbs.hupu.com/642446219.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
26,异地女友出差的第二天,,45回复,https://bbs.hupu.com/642439809.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
27,像看了一集动画片，哈哈哈哈哈,,33回复,https://bbs.hupu.com/642441736.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
28,有没有学医的jr，关于献血的评论区总是感觉乌烟瘴气的,,54回复,https://bbs.hupu.com/642443600.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
29,其实一直拿出来和乔丹做比较就足够体现出了老詹的伟大,,38回复,https://bbs.hupu.com/642443493.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
30,19w到100w的第548天,,28回复,https://bbs.hupu.com/642443653.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
31,有娃以后的夫妻生活,,22回复,https://bbs.hupu.com/642443633.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
32,0916 一坨，35w实盘,,57回复,https://bbs.hupu.com/642443360.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
33,历届亚运会金牌榜前三名，中日韩霸榜,,16回复,https://bbs.hupu.com/642444023.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
34,我清晰清楚的记得2008年的时候公务员就是不如普通打工的……JR们有这方面印象吗？,,268回复,https://bbs.hupu.com/642438649.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
35,缤纷水果摊,,25回复,https://bbs.hupu.com/642442196.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
36,太平天国匪乱对江苏浙江安徽江西等江南省份是毁灭性打击,,22回复,https://bbs.hupu.com/642443554.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
37,一场全球规模的海啸……人类能幸存吗？,,103回复,https://bbs.hupu.com/642441304.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
38,网友问双休把厂二代干停更了，跳“库里库里”舞网红“锅炉公主”人设崩塌停更,,104回复,https://bbs.hupu.com/642440057.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
39,新认识个姐姐，纠结要不要追她，怕不成了尴尬,,75回复,https://bbs.hupu.com/642442217.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
40,终于没跳水了,,37回复,https://bbs.hupu.com/642443815.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
41,有一说一，男生在30岁之前靠自己赚到1千万存款，算不算同龄人里面的top10%？,,12回复,https://bbs.hupu.com/642443738.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
42,开盘建仓立昂微，尾盘进紫光，长飞wqnmd！比亨通差远了+2545,,109回复,https://bbs.hupu.com/642443264.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
43,女朋友说将来不愿生孩子，如何说服她？,,28回复,https://bbs.hupu.com/642443404.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
44,1991年央视报道苏联解体的真实影像,,64回复,https://bbs.hupu.com/642441185.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
45,你知道的，我一直都是科技的忠实拥趸,,19回复,https://bbs.hupu.com/642443277.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
46,理性讨论:刘德华和梁家辉谁的演技更强一些？,,16回复,https://bbs.hupu.com/642442943.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
47,分子人类学说史-在陕北榆林这种长期胡汉杂居的地方，胡人的后代都不足两位数,,60回复,https://bbs.hupu.com/642441889.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
48,请问老哥们，哪个时间节点去北京游玩不是太拥挤?,,47回复,https://bbs.hupu.com/642442057.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
49,中国网络第一恶人应该就是胡锡进吧,,21回复,https://bbs.hupu.com/642442668.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
50,给你十个亿，但你将获得一个永久性debuff，怎么选？,,66回复,https://bbs.hupu.com/642441751.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
51,理解不了科密否认04总决赛科比不传球给奥尼尔的事实,,34回复,https://bbs.hupu.com/642441837.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
52,小树林,,21回复,https://bbs.hupu.com/642449748.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
53,i7分享,,10回复,https://bbs.hupu.com/642449865.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
54,健身房锻炼媳妇,,6回复,https://bbs.hupu.com/642450082.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
55,出大事了！孙割宣布设立“孙宇晨奖”，对标诺贝尔！！！！！！,,8回复,https://bbs.hupu.com/642449490.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
56,欧洲人真的很臭吗，很多外国网友都这么说,,138回复,https://bbs.hupu.com/642439405.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
57,穆斯林的恶劣生存环境：谷歌街景随机看马来西亚农村，散发着浓浓的热带贫困气息,,34回复,https://bbs.hupu.com/642442055.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
58,理性讨论，县城做生意年收入200万和一线城市稳定工作年薪100万谁生活更好,,7回复,https://bbs.hupu.com/642448462.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
59,玉帝接班人 也就是六御,,142回复,https://bbs.hupu.com/642448947.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
60,连续一年喝免费奶茶，你选哪个连锁品牌？,,5回复,https://bbs.hupu.com/642449599.html,,虎扑,步行街热帖,walk-street,,2026-09-17 00:23:57
1,亚运男足：中国2-1朝鲜，吴曦、张玉宁互相传射,,,https://m.hupu.com/bbs/642447464,,虎扑,虎扑首页,home,,2026-09-17 01:18:51
2,投桃报李！张玉宁送助攻，吴曦挑射破门，中国2-1朝鲜,,,https://m.hupu.com/bbs/642447157,,虎扑,虎扑首页,home,,2026-09-17 01:18:51
3,[JR热议]爆料：氧望老板拍板要解约，某主播大概率永久封禁,,,https://m.hupu.com/bbs/642447341,,虎扑,虎扑首页,home,,2026-09-17 01:18:51
4,[流言板]解说：中国男篮9月18日对阵日本，这场比赛的重要性不言而喻,,,https://m.hupu.com/bbs/642449321,,虎扑,虎扑首页,home,,2026-09-17 01:18:51
5,[流言板]亚运会男篮四强出炉：中国队迎战日本，韩国迎战伊朗男篮,,,https://m.hupu.com/bbs/642447795,,虎扑,虎扑首页,home,,2026-09-17 01:18:51
6,【直播】管泽元被处罚后首次更新动态，全英文流畅采访塔图姆,,,https://m.hupu.com/bbs/642447649,,虎扑,虎扑首页,home,,2026-09-17 01:18:51
7,2026上海全球冠军赛规则书：禁止鞭尸、蹲起嘲讽，违者处罚,,,https://m.hupu.com/bbs/642446703,,虎扑,虎扑首页,home,,2026-09-17 01:18:51
