index,title,desc,hot,url,image,source,type,datetime,ranking_id,published_at
1,图片转换工具,,224,https://www.52pojie.cn/thread-2125996-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
2,Windows 10/11 系统优化管理工具Windows Manager v2.4.0,,10,https://www.52pojie.cn/thread-2126034-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
3,抖音无水印原画下载器 v1.0.5,,1,https://www.52pojie.cn/thread-2124918-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
4,VMware Workstation Pro 26H1u1 25688693 简体中文汉化版&简体中文语言包,,26,https://www.52pojie.cn/thread-2126269-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
5,个性化字帖生成工具V1.4,,1,https://www.52pojie.cn/thread-2126021-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
6,小学、初中、高中电子课本下载工具 tchMaterial-parser v4.2,,4,https://www.52pojie.cn/thread-2126541-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
7,户外出行离线地图 Organic Maps 26082718,,26082718,https://www.52pojie.cn/thread-2125781-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
8,B站第三方 BT 0.9.35,,0,https://www.52pojie.cn/thread-2126475-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
9,音效增强工具 FxSound v1.2.14.0,,1,https://www.52pojie.cn/thread-2125811-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
10,聆阅听书—v1.1.4,,1,https://www.52pojie.cn/thread-2125245-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
11,Windows系统调校2026.6.19,,2026,https://www.52pojie.cn/thread-2125612-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
12,下载管理工具 Hydra Download Manager v0.4.0,,0,https://www.52pojie.cn/thread-2126293-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
13,智能抠图工具  v1.3.0,,1,https://www.52pojie.cn/thread-2125128-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
14,轻量级屏幕标注工具 MarkerOn v2.9.4,,2,https://www.52pojie.cn/thread-2125295-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
15,PDF文件批量去签名小工具 v1.0,,1,https://www.52pojie.cn/thread-2124712-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
16,Win7极限优化助手1.0,,7,https://www.52pojie.cn/thread-2125334-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
17,工位风水大师 v1.0,,1,https://www.52pojie.cn/thread-2125550-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
18,Markdown编辑器 HorseMD v0.13.187,,0,https://www.52pojie.cn/thread-2126073-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
19,Android加固工具 V10.0.0,,10,https://www.52pojie.cn/thread-2126036-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
20,微信图片下载与 排版工具,,346,https://www.52pojie.cn/thread-2125082-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
21,Office办公套件 LibreOffice v26.8.0,,26,https://www.52pojie.cn/thread-2125406-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
22,网盘解析下载 YunX云析 v1.2.5,,1,https://www.52pojie.cn/thread-2124780-1-1.html,,吾爱破解,热门热帖,2026-09-06 10:29:31,,
