index,title,desc,hot,url,image,source,type,datetime
1,最值得买的顶级公路车？TREK 八代 Madone 评测,它没有卷到极致的轻量化，也没有最极端的气动数据，但综合实力稳稳站在顶级公路车的第一梯队。 查看全文,,https://sspai.com/post/114040,,RSS,少数派,2026-09-06 01:17:09
2,本周看什么 | 最近值得一看的 8 部作品,📅本周新预告《哈利·波特》剧集先导预告9月2日，剧集《哈利·波特与魔法石》发布了先导预告，第一季共8集，将于12月25日上线HBOMax。原作者J·K·罗琳担任执行制片人，多米尼克·麦克劳克林、阿拉贝 ... 查看全文,,https://sspai.com/post/114175,,RSS,少数派,2026-09-06 01:17:09
3,新学期，新气象：正版软件 & 付费栏目限时优惠,多款付费栏目和正版软件上新，以及口碑、质量都非常优秀的现有产品优惠活动，快来看看有没有你需要的吧。 查看全文,,https://sspai.com/post/114110,,RSS,少数派,2026-09-06 01:17:09
4,开学季 | 超级闹钟、算教学周、统计作业：三条快捷指令让学校生活轻松一点,研究一下iOS自带的快捷指令，可能会让你的学习生活也轻松不少。 查看全文,,https://sspai.com/post/114117,,RSS,少数派,2026-09-06 01:17:09
5,在 16:10 屏幕普及的当下，聊聊那台最后的 4:3 版 ThinkPad T61p,在 2026 年用一台 4:3 屏幕的 ThinkPad 是一种什么体验？ 查看全文,,https://sspai.com/post/113990,,RSS,少数派,2026-09-06 01:17:09
1,GPT-6 突然全量上线，额度重置再+1，全网实测效果太离谱,GPT-6 Astra 的真正野心，是接管人类的电脑 #欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。,,https://www.ifanr.com/1678195?utm_source=rss&utm_medium=rss&utm_campaign=,,RSS,爱范儿,2026-09-06 01:17:09
2,一台 3D 打印机，为什么藏着 GPT-6 最大的野心？｜硬哲学,简化过程，直抵结果 #欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。,,https://www.ifanr.com/1678515?utm_source=rss&utm_medium=rss&utm_campaign=,,RSS,爱范儿,2026-09-06 01:17:09
3,苹果提前「揭晓」触屏 MacBook Pro，我终于能戳同事电脑了,祖宗之法也得变 #欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。,,https://www.ifanr.com/1678295?utm_source=rss&utm_medium=rss&utm_campaign=,,RSS,爱范儿,2026-09-06 01:17:09
4,早报｜苹果将迎来史上最大产品发布潮/微信小微内测Agent间沟通/何庭波发布「韬定律」新论文,"· 千问办公上线一个月，用户突破 3000 万
· 存储涨价推高手机成本，全球在售机型平均涨价约 15%
· 大众汽车追加裁员计划，德国四座工厂将陆续停产 #欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。",,https://www.ifanr.com/1677342?utm_source=rss&utm_medium=rss&utm_campaign=,,RSS,爱范儿,2026-09-06 01:17:09
5,24.99 万元起、全系四激光雷达，启境 GX7 还准备了一件「午休神器」,20 秒开启极速午休。 #欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。,,https://www.ifanr.com/1678459?utm_source=rss&utm_medium=rss&utm_campaign=,,RSS,爱范儿,2026-09-06 01:17:09
1,GPT-6带火循环Transformer，阿里早已布局,手握两篇顶会论文,,https://www.qbitai.com/2026/09/484726.html,,RSS,量子位,2026-09-06 01:17:09
2,押中SpaceX的硅谷老将，把票投给了一家中国世界模型公司,当AI开始“预演”一场暴雨,,https://www.qbitai.com/2026/09/484683.html,,RSS,量子位,2026-09-06 01:17:09
3,陶哲轩吐槽GPT-6孪生素数新突破：令人无语的一幕,AI直接吐出正确答案，但最关键的可能不是答案,,https://www.qbitai.com/2026/09/484649.html,,RSS,量子位,2026-09-06 01:17:09
4,这个世界模型训练完就“退场”，机器人反而更能干了,如此“反骨”的方法，具体又是怎么实现的？,,https://www.qbitai.com/2026/09/484611.html,,RSS,量子位,2026-09-06 01:17:09
5,姚班校友主导，Claude攻克费马大定理首个完整形式化证明,最后靠Harness救回来,,https://www.qbitai.com/2026/09/484551.html,,RSS,量子位,2026-09-06 01:17:09
1,RTX 4060 跑 35B 模型，每秒 39 Token？伯克利、MIT 联手开源 FreeToken,点击查看原文>,,https://www.infoq.cn/article/tij5T0vJ1Yk0s7Uov7SE?utm_source=rss&utm_medium=article,,RSS,InfoQ,2026-09-06 01:17:09
2,Uber GitFarm：面向大规模单体代码库的 Git 即服务平台,点击查看原文>,,https://www.infoq.cn/article/3M4uYzNDWiLX6BR9RXwy?utm_source=rss&utm_medium=article,,RSS,InfoQ,2026-09-06 01:17:09
3,Meta 拓展自研芯片战略：从计算领域延伸至网络领域,点击查看原文>,,https://www.infoq.cn/article/bSxsIYqjExqDh8eO2kwL?utm_source=rss&utm_medium=article,,RSS,InfoQ,2026-09-06 01:17:09
4,鸿蒙 AI Coding 的研发新范式与工程实践,点击查看原文>,,https://www.infoq.cn/article/4C4RQUGPhAXgcx8G64ab?utm_source=rss&utm_medium=article,,RSS,InfoQ,2026-09-06 01:17:09
5,Spring Boot 中的后量子密码学：一个冲刺周期内即可交付的四种模式,点击查看原文>,,https://www.infoq.cn/article/hWQs9a123hhtDYtk0ADQ?utm_source=rss&utm_medium=article,,RSS,InfoQ,2026-09-06 01:17:09
