index,title,desc,hot,url,image,source,type,ranking_id,published_at,datetime
1,与 AI 搏斗失败后重新开始找工作：经验分享与半可靠避雷指南,Matrix首页推荐Matrix是少数派的写作社区，我们主张分享真实的产品体验，有实用价值的经验与思考。我们会不定期挑选Matrix最优质的文章，展示来自用户的最真实的体验和观点。文章代表作者个人观点 ... 查看全文,,https://sspai.com/post/114461,,RSS,少数派,feed-1,"Sat, 12 Sep 2026 15:00:00 +0800",2026-09-13 00:21:15
2,本周看什么 | 最近值得一看的 7 部作品,📅本周新预告《哥斯拉-0.0》正式预告9月8日，电影《哥斯拉-0.0》发布了正式预告，将于11月3日在日本上映、11月6日在北美上映。山崎贵回归担任导演、编剧和特效总监，神木隆之介、滨边美波回归出演， ... 查看全文,,https://sspai.com/post/114458,,RSS,少数派,feed-1,"Fri, 11 Sep 2026 18:02:49 +0800",2026-09-13 00:21:15
3,iPhone 18 和 Duo 发布会上，Apple 没告诉你的那些事,新品尚未发货，我们继续整理了一些发布会中未提及的细节，不妨一起来看看有没有你感兴趣的。 查看全文,,https://sspai.com/post/114449,,RSS,少数派,feed-1,"Fri, 11 Sep 2026 16:30:00 +0800",2026-09-13 00:21:15
4,「正常」已是不易：聊聊不那么标新立异的理想 i6,如果你想买一辆能够长期持有、同时又足够「正常」的新能源车，我还是非常推荐去试试理想 i6。 查看全文,,https://sspai.com/post/113605,,RSS,少数派,feed-1,"Fri, 11 Sep 2026 14:50:20 +0800",2026-09-13 00:21:15
5,新 iPhone 配件精选：多种组合一次配齐,iPhone18Pro/ProMax即将开售，这次我们围绕新iPhone准备了几种常用配件，并整理成了五种配件组合，覆盖机身防护、充电、数据连接和磁吸支撑。其中，日常防护组合优惠29元，防护充电组合优 ... 查看全文,,https://sspai.com/post/114414,,RSS,少数派,feed-1,"Fri, 11 Sep 2026 12:00:00 +0800",2026-09-13 00:21:15
1,特努斯回答一切，那个懂技术的苹果 CEO 回来了,「That’s your guy.」 #欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。,,https://www.ifanr.com/1679848?utm_source=rss&utm_medium=rss&utm_campaign=,,RSS,爱范儿,feed-2,"Sat, 12 Sep 2026 08:30:04 +0000",2026-09-13 00:21:15
2,讲讲 Duo 作为科技产品命名的前世今生,这就是我们能够联想到的关于「Duo」的故事，当然还有很多其他公司、产品没有涉及到，欢迎你在评论区聊聊让你印象最深的同名产品。以及接下来，等拿到 iPhone Duo 真机，我们更想看看那块大屏又会让我们「Duo」做些什么。 #欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。,,https://www.ifanr.com/1679899?utm_source=rss&utm_medium=rss&utm_campaign=,,RSS,爱范儿,feed-2,"Sat, 12 Sep 2026 06:14:09 +0000",2026-09-13 00:21:15
3,刚刚，Apple Watch 成为了苹果最新的 AI 硬件,刚刚，Apple Watch 成为了苹果最新的 AI 硬件 #欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。,,https://www.ifanr.com/1679877?utm_source=rss&utm_medium=rss&utm_campaign=,,RSS,爱范儿,feed-2,"Sat, 12 Sep 2026 06:08:51 +0000",2026-09-13 00:21:15
4,早报｜苹果CEO特努斯回应折叠屏迟到：不做半成品/长鑫存储利润率超三星海力士/36.9万，特斯拉Model Y高性能版上市,"· 马斯克怒斥吉布尼纪录片《马斯克》是「抹黑之作」
· 特斯拉 Model Y 高性能版上市，售价 36.9 万元
· 微软计划到 2032 年把数据中心容量扩至 38 GW 以上 #欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。",,https://www.ifanr.com/1679729?utm_source=rss&utm_medium=rss&utm_campaign=,,RSS,爱范儿,feed-2,"Sat, 12 Sep 2026 00:35:27 +0000",2026-09-13 00:21:15
5,制糖工厂发布「硬糖小魔头 Max60」：60W AVS 动态快充，15 分钟让 iPhone 18 Pro 充至 50%,制糖工厂 CANDYSIGN 宣布推出—— 60W 动态电源「硬糖小魔头 Max60」，支持 iPhone 18 Pro AVS 动态快充15 分钟可充至 50%。随着 iPhone 18 Pro / Pro Max 正式支持 AVS，这项技术开始走向更多用户，Max60 小魔头也为这一新一代快充体验而来。 #欢迎关注爱范儿官方微信公众号：爱范儿（微信号：ifanr），更多精彩内容第一时间为您奉上。,,https://www.ifanr.com/1679798?utm_source=rss&utm_medium=rss&utm_campaign=,,RSS,爱范儿,feed-2,"Fri, 11 Sep 2026 13:02:01 +0000",2026-09-13 00:21:15
1,“算力中国·年度卓越成就”发布 太初元碁超智融合计算系统入选,太初（杭州）集成电路有限公司新一代超智融合计算系统元碁Hypertintellix入选“算力中国·年度卓越成就”。,,https://www.qbitai.com/2026/09/487860.html,,RSS,量子位,feed-3,"Sat, 12 Sep 2026 11:38:16 +0000",2026-09-13 00:21:15
2,A社承认Claude安全对齐存在缺陷，但“尚无解决方案”,Claude越界攻击真实系统，并非只是测试系统的设置问题，模型本身的安全问题也出了问题。,,https://www.qbitai.com/2026/09/487796.html,,RSS,量子位,feed-3,"Sat, 12 Sep 2026 08:49:02 +0000",2026-09-13 00:21:15
3,探索RSI，生数新世界模型让机器人开始自我进化,触觉、记忆、Ego数据、自进化……这个世界模型全都有,,https://www.qbitai.com/2026/09/487752.html,,RSS,量子位,feed-3,"Sat, 12 Sep 2026 08:15:31 +0000",2026-09-13 00:21:15
4,AI数学的最后一道高墙，塌了！GPT-6 Astra刷穿FrontierMath Tier 4,FrontierMath Tier 4，饱和了,,https://www.qbitai.com/2026/09/487701.html,,RSS,量子位,feed-3,"Sat, 12 Sep 2026 07:33:54 +0000",2026-09-13 00:21:15
5,Kimi突发K2.8：性能逼近K3，百万上下文全员开放,冲刺港股IPO,,https://www.qbitai.com/2026/09/487688.html,,RSS,量子位,feed-3,"Sat, 12 Sep 2026 05:58:41 +0000",2026-09-13 00:21:15
1,AI的新用法，被这群 Builder 带到了外滩大会开发者日,点击查看原文>,,https://www.infoq.cn/article/i1FJsYNhNM4wwV78ANhL?utm_source=rss&utm_medium=article,,RSS,InfoQ,infoq,"Sat, 12 Sep 2026 20:35:26 GMT",2026-09-13 00:21:15
2,Google Mantis：一款旨在减少误报的基于智能代理的漏洞扫描框架,点击查看原文>,,https://www.infoq.cn/article/mF8WwkbQRUS7ZKprE3Ku?utm_source=rss&utm_medium=article,,RSS,InfoQ,infoq,"Sat, 12 Sep 2026 16:06:00 GMT",2026-09-13 00:21:15
3,两个 Token 就让 Kimi“变成”Claude？前Google DeepMind研究员意外撞上大模型的蒸馏疑云,点击查看原文>,,https://www.infoq.cn/article/GhA2VWxo6JTGyKIb7KdT?utm_source=rss&utm_medium=article,,RSS,InfoQ,infoq,"Sat, 12 Sep 2026 10:19:25 GMT",2026-09-13 00:21:15
4,模型一模一样，Token 却相差 70 倍？三项实测揭开 AI 编程工具的成本黑洞,点击查看原文>,,https://www.infoq.cn/article/oPSaLpULlAxGxTbYXlXO?utm_source=rss&utm_medium=article,,RSS,InfoQ,infoq,"Sat, 12 Sep 2026 10:13:44 GMT",2026-09-13 00:21:15
5,V4.1 Flash全面超越，开发者为何还在喷 DeepSeek：缺的不是能力，是软件工程思维,点击查看原文>,,https://www.infoq.cn/article/G7cublzVyXFOUX3vpz1t?utm_source=rss&utm_medium=article,,RSS,InfoQ,infoq,"Sat, 12 Sep 2026 10:08:50 GMT",2026-09-13 00:21:15
