index,title,desc,hot,url,image,source,type,ranking_id,published_at,datetime
1,"五局拉满,AL送走IG晋级",LPL季后赛败者组决赛，AL3:2力克IG，五局拉满。Tarzan猪妹零失误完美发挥，表现亮眼。最终AL晋级总决赛，同时锁定S16世界赛名额。,2670150,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=28363836&topic_name=%E4%BA%94%E5%B1%80%E6%8B%89%E6%BB%A1%2CAL%E9%80%81%E8%B5%B0IG%E6%99%8B%E7%BA%A7,,百度贴吧,最有料热点,topics,2026-09-12 22:21:30,2026-09-13 00:21:02
2,爆了!苹果18首批开售秒空,9月12日晚8点，iPhone18 Pro系列开启预售。开售仅几分钟，苹果官网及电商平台首批货源光速售罄。,2434985,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=28363832&topic_name=%E7%88%86%E4%BA%86%21%E8%8B%B9%E6%9E%9C18%E9%A6%96%E6%89%B9%E5%BC%80%E5%94%AE%E7%A7%92%E7%A9%BA,,百度贴吧,最有料热点,topics,2026-09-12 21:25:23,2026-09-13 00:21:02
3,"T1遭HLE完爆,无缘决赛",本质4比0！LCK季后赛败决，HLE 3-1 轻松碾压T1，将与GEN争夺冠军，T1收获季军，确定以三号种子晋级S赛。,2310896,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=28363788&topic_name=T1%E9%81%ADHLE%E5%AE%8C%E7%88%86%2C%E6%97%A0%E7%BC%98%E5%86%B3%E8%B5%9B,,百度贴吧,最有料热点,topics,2026-09-12 17:28:26,2026-09-13 00:21:02
4,安倍遇刺被撞JK获赔3895万,日本奈良县政府9月9日宣布，与2022年安倍遇刺现场被执勤警察撞倒的伤者达成和解，将赔偿其3895万日元。,1866591,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=28363842&topic_name=%E5%AE%89%E5%80%8D%E9%81%87%E5%88%BA%E8%A2%AB%E6%92%9EJK%E8%8E%B7%E8%B5%943895%E4%B8%87,,百度贴吧,最有料热点,topics,2026-09-12 23:33:20,2026-09-13 00:21:02
5,"AI抢饭碗,数学家急眼",邓煜等25位菲尔兹奖得主联名警告：AI正在摧毁数学界，破坏学术规范，威胁人才培养。,1762072,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=28363786&topic_name=AI%E6%8A%A2%E9%A5%AD%E7%A2%97%2C%E6%95%B0%E5%AD%A6%E5%AE%B6%E6%80%A5%E7%9C%BC,,百度贴吧,最有料热点,topics,2026-09-12 17:00:06,2026-09-13 00:21:02
6,炫神开爆:LOL赛评全靠抗吧,炫神直播爆料：LOL赛评只要抄抗吧等论坛的帖子就能赚钱，观众都是云狗，只看比赛不玩游戏。,1367275,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=28363797&topic_name=%E7%82%AB%E7%A5%9E%E5%BC%80%E7%88%86%3ALOL%E8%B5%9B%E8%AF%84%E5%85%A8%E9%9D%A0%E6%8A%97%E5%90%A7,,百度贴吧,最有料热点,topics,2026-09-12 17:54:10,2026-09-13 00:21:02
7,内部恨!Re0编剧骂主角人渣,《Re从零开始的异世界生活》第16集翻车被喷，编剧横谷昌宏对角色的恶意更激起众怒，因不满主角菜月昴开后宫，删改其高光时刻，还骂男主是垃圾、人渣。,1211952,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=28363779&topic_name=%E5%86%85%E9%83%A8%E6%81%A8%21Re0%E7%BC%96%E5%89%A7%E9%AA%82%E4%B8%BB%E8%A7%92%E4%BA%BA%E6%B8%A3,,百度贴吧,最有料热点,topics,2026-09-12 15:59:25,2026-09-13 00:21:02
8,"美军机图案讽日本,老日不敢言",美国军机P-40尾翼上的小孩向旭日旗撒尿的图案引发讨论，日本网友表示对美国行径并不在意，表示已成历史，话锋一转又批评起俄罗斯。,1194620,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=28363742&topic_name=%E7%BE%8E%E5%86%9B%E6%9C%BA%E5%9B%BE%E6%A1%88%E8%AE%BD%E6%97%A5%E6%9C%AC%2C%E8%80%81%E6%97%A5%E4%B8%8D%E6%95%A2%E8%A8%80,,百度贴吧,最有料热点,topics,2026-09-12 11:32:55,2026-09-13 00:21:02
9,"吴柳芳带货扑街,男粉不消费",前体操运动员吴柳芳接受采访，坦言目前直播带货销量不理想，男粉占比九成，消费欲不高。针对网友建议卖男装，吴柳芳自嘲个子小，试穿效果不好。,1030216,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=28363748&topic_name=%E5%90%B4%E6%9F%B3%E8%8A%B3%E5%B8%A6%E8%B4%A7%E6%89%91%E8%A1%97%2C%E7%94%B7%E7%B2%89%E4%B8%8D%E6%B6%88%E8%B4%B9,,百度贴吧,最有料热点,topics,2026-09-12 12:45:36,2026-09-13 00:21:02
10,"LadyGaga当妈,被质疑代孕",Lady Gaga被拍到与未婚夫怀抱新生儿外出，因时间线不明确且无孕肚照曝光，引发“代孕生子”的猜测，本人暂未回应。,912534,https://tieba.baidu.com/hottopic/browse/hottopic?topic_id=28363787&topic_name=LadyGaga%E5%BD%93%E5%A6%88%2C%E8%A2%AB%E8%B4%A8%E7%96%91%E4%BB%A3%E5%AD%95,,百度贴吧,最有料热点,topics,2026-09-12 18:00:42,2026-09-13 00:21:02
