index,title,desc,hot,url,image,source,type,datetime
1,现在做什么技术的最容易找工作,职场话题,54,https://www.v2ex.com/t/1239623,,V2EX,热门主题,2026-09-06 01:24:34
2,搞了个开源大模型 API 中转站，官方价 3.5 折，送 25 份 5 刀额度,推广,49,https://www.v2ex.com/t/1239673,,V2EX,热门主题,2026-09-06 01:24:34
3,周六清早起来快蹬 马上又要重置了....,OpenAI,38,https://www.v2ex.com/t/1239621,,V2EX,热门主题,2026-09-06 01:24:34
4,我又又又重构了我的站点,程序员,29,https://www.v2ex.com/t/1239655,,V2EX,热门主题,2026-09-06 01:24:34
5,Claude 是不是又重置了？,Claude,28,https://www.v2ex.com/t/1239616,,V2EX,热门主题,2026-09-06 01:24:34
6,有没有成色好的二手笔记本网店推荐,问与答,26,https://www.v2ex.com/t/1239638,,V2EX,热门主题,2026-09-06 01:24:34
7,汇流直播，一个 Apple 全家桶的直播聚合观看 app，上架 Apple Store，抽奖了,分享创造,26,https://www.v2ex.com/t/1239707,,V2EX,热门主题,2026-09-06 01:24:34
8,梳理一下 Google AI Pro 赠送的所有权益，每月竟然价值几千块,分享创造,25,https://www.v2ex.com/t/1239651,,V2EX,热门主题,2026-09-06 01:24:34
9,GPT-6 Astra - 新的 O1 时刻,OpenAI,24,https://www.v2ex.com/t/1239617,,V2EX,热门主题,2026-09-06 01:24:34
10,给我整乐呵了，商汤上了 deepseek v4 flash 和 pro,程序员,24,https://www.v2ex.com/t/1239687,,V2EX,热门主题,2026-09-06 01:24:34
1,现在做什么技术的最容易找工作,职场话题,55,https://www.v2ex.com/t/1239623,,V2EX,热门主题,2026-09-06 04:26:27
2,搞了个开源大模型 API 中转站，官方价 3.5 折，送 25 份 5 刀额度,推广,49,https://www.v2ex.com/t/1239673,,V2EX,热门主题,2026-09-06 04:26:27
3,周六清早起来快蹬 马上又要重置了....,OpenAI,38,https://www.v2ex.com/t/1239621,,V2EX,热门主题,2026-09-06 04:26:27
4,我又又又重构了我的站点,程序员,30,https://www.v2ex.com/t/1239655,,V2EX,热门主题,2026-09-06 04:26:27
5,汇流直播，一个 Apple 全家桶的直播聚合观看 app，上架 Apple Store，抽奖了,分享创造,29,https://www.v2ex.com/t/1239707,,V2EX,热门主题,2026-09-06 04:26:27
6,Claude 是不是又重置了？,Claude,28,https://www.v2ex.com/t/1239616,,V2EX,热门主题,2026-09-06 04:26:27
7,有没有成色好的二手笔记本网店推荐,问与答,26,https://www.v2ex.com/t/1239638,,V2EX,热门主题,2026-09-06 04:26:27
8,梳理一下 Google AI Pro 赠送的所有权益，每月竟然价值几千块,分享创造,26,https://www.v2ex.com/t/1239651,,V2EX,热门主题,2026-09-06 04:26:27
9,GPT-6 Astra - 新的 O1 时刻,OpenAI,24,https://www.v2ex.com/t/1239617,,V2EX,热门主题,2026-09-06 04:26:27
10,给我整乐呵了，商汤上了 deepseek v4 flash 和 pro,程序员,24,https://www.v2ex.com/t/1239687,,V2EX,热门主题,2026-09-06 04:26:27
